Year,Refugees,Asylum,Internally Displaced,Stateless Persons,Others of Concern,Total Population,Total In,Total IDP
1994,2257573,0,300000,0,0,3765578,2257573,300000
1995,1819366,0,0,0,0,2060064,1819366,0
1996,469136,0,0,0,0,1879918,469136,0
1997,68003,0,21877,0,0,310334,68003,21877
