Year,Refugees,Asylum,Internally Displaced,Stateless Persons,Others of Concern,Total Population,Total In,Total IDP
2011,19931,14456,0,0,14110,48497,48497,0
2012,729022,26023,2016500,0,6900,2847018,761945,2016500
2013,2468332,41037,6520800,0,9400,9180330,2518769,6520800
2014,3887491,84542,7632500,0,1993,11606526,3974026,7632500
2015,4873243,245857,6563462,0,8247,11690998,5127347,6563462
2016,5524377,184218,6325978,0,8518,12643092,5717113,5725978
2017,6308623,146721,6150005,0,8596,13288334,6463940,5552853
2018,6654339,139534,6183920,0,8453,13197248,6802326,6183920
